;tmdb_id;imdb_rating;imdb_votes
655;783675;8.1;10,136
657;25050;7.9;19,741
658;22504;7.7;5,664
660;15916;7.7;7,817
659;712454;7.5;9,339
661;126319;7.8;23,291
663;5511;8.0;62,408
664;216;8.0;24,535
665;17483;7.6;24,521
669;587;8.0;468,648
666;583;8.0;428,865
668;14756;8.0;238,435
672;545611;7.8;570,853
673;117;7.8;342,239
670;980489;7.1;119,866
671;579974;7.8;175,278
676;10229;7.3;226,548
681;937278;7.5;192,250
680;873;7.7;100,791
678;13855;7.8;76,522
677;652722;;
683;273248;7.8;691,073
682;609242;7.1;11,105
686;380;8.0;565,093
685;882569;7.5;188,345
688;925;7.9;116,307
689;1417;8.2;724,170
690;808;7.9;763,726
691;396535;7.6;279,876
692;1480;8.0;111,672
695;303;7.9;109,703
707;12491;7.6;10,373
696;980026;7.7;31,552
701;24428;8.0;1,506,017
699;269149;8.0;577,006
700;166428;7.4;162,927
693;976893;7.9;82,487
702;21135;7.7;23,381
705;322;7.9;503,836
708;792;8.1;455,647
709;143;8.1;69,827
706;203217;6.8;6,148
710;25253;7.7;6,745
714;12444;7.7;628,553
713;705861;7.3;154,652
715;666277;7.8;151,787
717;40662;8.1;56,401
716;211954;7.5;33,168
718;1626;7.8;36,456
720;15265;8.1;20,715
721;382591;7.3;29,491
722;1040;7.9;32,234
723;123025;8.0;54,214
724;602063;;
725;2108;7.8;456,735
727;45269;8.0;721,302
726;492188;7.9;360,605
729;16052;6.9;32,366
728;843906;N/A;N/A
730;10020;8.0;492,170
731;9552;8.1;475,857
733;12405;8.0;894,660
732;369299;6.6;5,770
735;177572;7.8;527,175
739;49046;7.8;272,532
740;5528;7.8;68,923
742;309;8.0;95,318
741;396;8.0;81,881
738;413594;7.3;9,544
743;61979;6.8;29,527
744;11299;7.8;55,406
748;525;7.9;221,740
747;696;7.8;150,057
751;334;8.0;335,361
750;404;8.0;103,218
752;96721;8.1;532,959
745;939243;6.9;60,288
753;843241;6.3;1,550
754;12516;7.7;30,236
756;374473;7.8;66,192
757;22596;8.1;23,503
763;162;7.9;541,949
758;950396;6.7;105,571
760;297222;8.1;209,543
762;688;7.6;91,974
764;48831;7.8;14,935
765;221732;;
766;30959;;
767;9800;7.7;266,705
768;205;8.1;383,414
771;272;8.2;1,641,193
772;30018;7.7;76,435
774;9806;8.0;851,626
776;451945;;
777;234200;7.8;63,548
775;656563;;
778;30588;7.8;19,567
781;672;7.4;729,055
