;tmdb_id;imdb_rating;imdb_votes
234;63926;8.7;201,415
235;61175;8.1;41,890
236;43017;8.5;12,956
264;5920;8.2;211,237
254;4087;8.6;262,046
219;58841;8.1;48,999
221;44006;8.0;68,745
252;30984;8.2;80,938
242;97546;8.8;398,897
276;61923;;
277;99071;6.4;5,997
279;46994;7.2;2,435
207;70637;7.0;3,111
244;88046;7.6;13,724
232;250670;7.5;17,787
237;112160;7.3;6,795
248;135918;8.6;15,227
220;73833;7.6;4,505
243;72296;6.2;2,645
261;65931;7.8;11,449
212;236873;9.2;311
233;68188;6.5;1,698
217;117378;8.6;13,390
224;61461;8.0;5,406
253;210942;7.6;6,824
249;99777;7.0;567
228;99489;7.9;5,154
267;62450;7.3;3,115
204;81318;7.6;1,779
245;56568;8.5;6,635
238;68854;;
239;72636;8.3;18,054
240;218230;8.5;18,830
241;128876;8.9;31,521
246;96316;6.9;8,928
247;71694;8.4;38,861
250;74387;8.2;49,724
251;33217;8.6;48,577
256;3570;7.7;7,988
255;615;8.5;270,745
258;2190;8.7;420,925
257;46004;6.9;4,490
259;158793;7.6;1,023
263;655;8.7;143,530
262;42589;7.5;19,261
260;213402;7.6;2,043
265;123876;7.7;11,147
266;121964;7.6;3,239
268;46260;8.4;146,717
269;108284;7.9;10,782
271;2038;7.7;44,473
270;80350;8.0;51,695
274;83097;8.2;52,514
272;100757;7.5;95,521
275;78173;8.2;9,157
273;91801;;
278;65143;8.2;24,111
287;90660;7.9;8,264
280;204832;7.5;12,185
283;153312;8.0;97,723
282;203737;8.3;11,845
281;226241;6.9;349
286;604;7.9;40,784
290;12971;8.8;95,699
289;16286;8.4;4,540
291;61459;8.3;53,147
292;79434;8.0;20,470
297;1920;8.7;228,907
296;94404;8.1;12,252
299;114395;7.2;1,893
304;42671;7.9;38,648
301;85702;8.1;15,058
303;61192;7.9;3,437
305;215720;8.2;21,078
309;8724;9.0;35,616
306;76747;7.8;20,731
312;46028;7.0;16,842
313;6040;7.5;15,904
316;18165;7.7;366,693
320;98986;6.9;2,476
319;113268;8.0;12,426
325;100087;;
326;4057;8.1;229,466
333;97890;7.5;12,820
327;127529;8.1;15,738
336;34109;5.8;3,620
329;62650;7.6;32,164
330;74682;;
331;60957;8.2;18,057
332;51817;7.9;15,714
328;93149;6.5;1,773
353;42009;8.7;689,111
295;94997;8.3;471,932
399;110492;8.3;147,087
340;61374;7.7;70,402
300;1437;8.9;290,535
383;106379;8.3;312,624
363;4629;8.4;104,452
384;76331;8.8;316,845
357;2710;8.8;265,603
307;2309;;
294;74440;8.4;41,027
362;888;;
317;4500;8.3;41,571
285;69291;7.7;5,886
293;31724;;
375;105556;7.1;5,531
366;112163;6.5;4,541
335;1063;8.5;58,414
334;67126;7.1;2,025
401;64710;7.8;20,999
377;61389;;
322;63145;7.5;8,870
361;65676;7.9;9,759
387;84231;8.3;21,722
386;46922;6.5;8,489
376;92983;8.1;12,358
323;24835;8.2;15,731
315;95171;8.4;11,231
346;34742;6.4;1,778
352;69346;7.6;4,829
310;16946;9.1;45,049
311;13579;9.0;45,634
324;85404;7.6;5,258
288;46041;;
